"","sexe","emploi","age"
"1","M","Temps plein",27
"2","F","Non",34
"3","F","Partiel",22
"4","F","Non",38
"5","M","Partiel",30
"6","F","Temps plein",27
"7","M","Temps plein",33
"8","M","Temps plein",39
"9","F","Temps plein",36
"10","F","Non",25
"11","M","Partiel",31
"12","M","Partiel",28
"13","M","Non",26
"14","F","Partiel",21
"15","F","Temps plein",29
"16","F","Temps plein",34
"17","F","Non",20
"18","F","Non",32
"19","M","-",27
"20","F","Partiel",33
"21","M","Temps plein",22
"22","M","Non",38
"23","F","Non",35
"24","M","Temps plein",35
"25","F","Temps plein",27
"26","M","Temps plein",24
"27","F","Temps plein",37
"28","F","Non",38
"29","F","Temps plein",29
"30","F","Temps plein",32
"31","F","Non",20
"32","M","Partiel",24
"33","M","Non",26
"34","M","Partiel",31
"35","M","Temps plein",32
"36","F","Partiel",24
